59;Nadl Hall;Laundry;OTHER;W4;WEEKDAYS,SATURDAY;9:00-19:00 or 9:00-12:00 on Saturday;1;.
60;KAIST GCOOP;Laundry;OTHER;W2;WEEKDAYS;7:30-18:00;1;.
61;KAIST Hair Shop;Barbershop;OTHER;W2;WEEKDAYS;10:00-18:30;1;.
62;Postal Agency;Mail, packages, postal stamps;OTHER;N11;WEEKDAYS;9:00-18:00;1;.
63;Woori Bank;Bank;OTHER;W2;WEEKDAYS;9:00-16:00;1;.
64;Travel Agency;Travel;OTHER;W2;WEEKDAYS;9:00-18:00;1;.
65;Mobile Phone Store;Smartphones;SHOP;N13;WEEKDAYS;10:00-19:00;1;.
66;KI House;Korean lessons, cultural events;CULTURAL;N5;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
67;Computer Repair Shop;Computer repair;SHOP;W2;WEEKDAYS;9:00-19:00;1;.
68;The Carillon & Duck Pond;KAIST's ducks home, carillon;LANDMARK;E4;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
69;Nocheon;Outdoor theater, BBQ;LANDMARK;W9;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
70;KI Building;Research facilities, amazing view;LANDMARK;E4;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
71;Statue of Jang Yeong-sil;Statue;LANDMARK;E9;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
72;Kim Beang-Ho & Kim Sam-Youl ITC Building;Laboratories;LANDMARK;N1;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
